url,cluster,change_rate
https://articulo.mercadolibre.cl/MLC-1672072068-correa-para-samsung-galaxy-watch-44-classic-40444246-mm-_JM?attributes=COLOR_SECONDARY_COLOR:QXp1bCBtYXJpbm8=,0,No Change
https://articulo.mercadolibre.cl/MLC-1981215384-botas-cortas-de-mujer-tacon-grueso-botas-cortas-de-chelsea-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1879630980-tijeras-de-podar-con-motosierra-electrica-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1360864291-funda-para-samsung-a52-a51-a31-a32-a21s-a72-s21-ultra-s20-fe-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1902673522-zapatillas-senderismo-transpirables-camuflaje-for-hombres-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-928428373-chaqueta-moto-hombre-vitese-bullet-cafe-racer-verde-oliva-_JM?attributes=COLOR_SECONDARY_COLOR:VmVyZGUvT2xpdmE=,SIZE:TA==",0,No Change
"https://articulo.mercadolibre.cl/MLC-1237102945-tapa-de-cubierta-for-el-espejo-transparente-protector-de-_JM?attributes=COLOR_SECONDARY_COLOR:QXp1bA==,PATTERN_NAME:U2Ftc3VuZyBHYWxheHkgQTQx",0,No Change
https://articulo.mercadolibre.cl/MLC-1757234700-juego-de-accesorios-elsa-princess-crown-y-guantes-_JM?attributes=COLOR_SECONDARY_COLOR:U3R5bGUgOQ==,0,No Change
"https://articulo.mercadolibre.cl/MLC-1420735501-funda-para-telefono-samsung-galaxy-m13-a13-m23-a23-f23-a23e-_JM?attributes=PATTERN_NAME:U2Ftc3VuZyBNMjMgNUc=,COLOR_SECONDARY_COLOR:Q2xhcmV0",0,No Change
https://articulo.mercadolibre.cl/MLC-1549483202-wanxing-letrero-luminoso-neon-led-feliz-cumpleanos-_JM?attributes=COLOR_SECONDARY_COLOR:Q29sb3JmdWw=,0,No Change
https://articulo.mercadolibre.cl/MLC-551268006-tintura-cromatone-_JM?attributes=VmFyaWFudGU=:OS4x,0,No Change
"https://articulo.mercadolibre.cl/MLC-1959077246-para-fundas-de-vidrio-templado-xiaomi-redmi-10-10a-10c-9-9a-_JM?attributes=PATTERN_NAME:UmVkbWkgMTBD,COLOR_SECONDARY_COLOR:Um9zZSByZWQ=",0,No Change
https://articulo.mercadolibre.cl/MLC-964489665-disfraz-de-harry-para-cosplay-capa-de-mago-corbata-gryffin-_JM,0,No Change
